Industry,Business Name,Original Scrapped Investment,Slightly Investment Required, Min Investment , Max Investment  ,Currency
Food - Quick Service Restaurants,Dairy Queen Canada Inc.,Investment Required: $400K+,$400K+," $400,000.00 ", $-   ,0
Printing / Copying / Shipping,InXpress Canada,Investment Required: $75K-$100K,$75K-$100K," $75,000.00 "," $100,000.00 ",0
Children's Products & Services,School of Rock,"Investment Required: $450,000 to $600,000","$450,000 to $600,000"," $450,000.00 "," $600,000.00 ",0
Sign Products & Services,SpeedPro Canada,Investment Required: $150-$200K,$150-$200K," $150,000.00 "," $200,000.00 ",0
Food - Quick Service Restaurants,Topper's Pizza,Investment Required: $350K-$620K,$350K-$620K," $350,000.00 "," $620,000.00 ",0
Food - Quick Service Restaurants,Triple O's,"Investment Required: $850,000 - $1.5M","$850,000 - $1.5M"," $850,000.00 "," $1,500,000.00 ",0
Food - Quick Service Restaurants,241 PIZZA,Investment Required: $300-$327K,$300-$327K," $300,000.00 "," $327,000.00 ",0
Children's Products & Services,2inspire,"Investment Required: $114,331 - $313,959 USD","$114,331 - $313,959 USD", $-   , $-   ,0
Health / Fitness / Nutrition,30 Minute Hit Ltd,Investment Required: $120K-$180K,$120K-$180K," $120,000.00 "," $180,000.00 ",0
Health / Fitness / Nutrition,3rd Degree Training,Investment Required: $100K - $175K,$100K - $175K," $100,000.00 "," $175,000.00 ",0
Health / Fitness / Nutrition,"9Round Franchising of Canada, Inc.","Investment Required: $94,175 - $196,775 USD","$94,175 - $196,775 USD", $-   , $-   ,0
Home - Inspection Services,A Buyer's Choice Home Inspections | ABCHI Commercial Inspections,Investment Required: Inquire,Inquire, $-   , $-   ,0
Food - Quick Service Restaurants,A&W Food Services of Canada Inc.,Investment Required: See description for cash requirements.,See description for cash requirements., $-   , $-   ,0
Educational Products & Services,Academy for Mathematics & English,Investment Required: $145K+,$145K+," $145,000.00 ", $-   ,0
Hair & Nail Salons / Spas,Achieve Wellness Spa,Investment Required: $450-$800K,$450-$800K," $450,000.00 "," $800,000.00 ",0
Automotive & Truck Services / Products / Rentals,Active Green + Ross,Investment Required: $150k-250k,$150k-250k," $150,000.00 "," $250,000.00 ",0
Business Consultants / Services / Training,AdviCoach Franchising,Investment Required: $87K USD,$87K USD, $-   , $-   ,0
Food - Grocery / Specialty Shops,Aisle 24,Investment Required: $120K-$220K,$120K-$220K, $-   , $-   ,0
Seniors Services / Home Care / Transition,Always Best Care Senior Services,"Investment Required: $78,050-$118,700","$78,050-$118,700", $-   , $-   ,0
Food - Quick Service Restaurants,"Ami Tea, Ami Tea Canada, Ami Tea & Sub","Investment Required: $200,000 to $500,000","$200,000 to $500,000"," $200,000.00 "," $500,000.00 ",0
Commercial / Residential Services,Anago Cleaning Systems,Investment Required: Unit $5K-$31K USD Master $246K-$405K USD,Unit $5K-$31K USD Master $246K-$405K USD, $-   , $-   ,0
Children's Products & Services,Aquastream Swim School,Investment Required: Inquire,Inquire, $-   , $-   ,0
Hotels / Motels / Campgrounds,Ascend Hotel Collection® (Choice Hotels Canada Inc.),Investment Required: $4M+,$4M+," $4,000,000.00 ", $-   ,0
Food - Quick Service Restaurants,Au Pain Doré,Investment Required: $350K-650K+ plus working capital,$350K-650K+ plus working capital," $350,000.00 ", $-   ,0
Home - Improvement / Renovation / Restoration,B-Protek Concrete Resurfacing,Investment Required: $116K,$116K, $-   , $-   ,0
Food - Restaurants / Dining Rooms,Bacaro Pizzeria,Investment Required: $500K-$850K,$500K-$850K," $500,000.00 "," $850,000.00 ",0
Commercial / Residential Services,BamQuickBins,Investment Required: $280K,$280K, $-   , $-   ,0
Pets - Sales / Supplies / Services,Bark Busters,Investment Required: $39K-$65K,$39K-$65K, $-   , $-   ,0
Food - Quick Service Restaurants,Basil Box,Investment Required: $400K-$500K,$400K-$500K," $400,000.00 "," $500,000.00 ",0
Children's Products & Services,Beaners Fun Cuts for Kids,Investment Required: $120K-$170K,$120K-$170K, $-   , $-   ,0
Food - Baked Goods / Coffee / Donuts,BeaverTails,Investment Required: $150K-$500K,$150K-$500K," $1,500,000.00 ", $-   ,0
Educational Products & Services,Beyond the Classroom,"Investment Required: 49,000","49,000"," $49,000.00 ", $-   ,0
Advertising / Marketing / Promotional Products & Services,Big Frog Custom T-Shirts & More!,Investment Required: $190K+,$190K+," $190,000.00 ", $-   ,0
Food - Restaurants / Dining Rooms,Big Rig Brewery,Investment Required: $1M-$3M,$1M-$3M," $1,000,000.00 "," $3,000,000.00 ",0
Food - Restaurants / Dining Rooms,Big T's BBQ and Smokehouse,"Investment Required: $450,000 to $650,000","$450,000 to $650,000"," $450,000.00 "," $650,000.00 ",0
Food - Baked Goods / Coffee / Donuts,Bimbo Canada/ Canada Bread Company LTD,Investment Required: Varies – depending on size of route,Varies – depending on size of route, $-   , $-   ,0
Health / Fitness / Nutrition,BioPed Footcare Centres,Investment Required: $162K-$225K,$162K-$225K," $162,000.00 "," $225,000.00 ",0
Food - Quick Service Restaurants,Boardwalk Fries Burgers Shakes,Investment Required: $450K-$550K,$450K-$550K," $450,000.00 "," $550,000.00 ",0
Food - Quick Service Restaurants,Booster Juice,Investment Required: $365000,$365000," $365,000.00 ", $-   ,0
Pets - Sales / Supplies / Services,Bosley's by Pet Valu,"Investment Required: $538,000 to $724,000","$538,000 to $724,000"," $538,000.00 "," $724,000.00 ",0
Children's Products & Services,British Swim School,"Investment Required: $93,700 - $125,050 USD","$93,700 - $125,050 USD"," $93,700.00 "," $125,050.00 ",USD
Food - Baked Goods / Coffee / Donuts,Broye Cafe & Bakery,"Investment Required: $200,000 - $400,000","$200,000 - $400,000"," $200,000.00 "," $400,000.00 ",0
Food - Quick Service Restaurants,Burger King Canada,Investment Required: $1M-$1.5M,$1M-$1.5M," $1,000,000.00 "," $1,500,000.00 ",0
Food - Quick Service Restaurants,Burgers n' Fries Forever,Investment Required: $100K,$100K," $100,000.00 ", $-   ,0
Food - Quick Service Restaurants,Buster's Pizza & Donair,Investment Required: Inquire,Inquire, $-   , $-   ,0
Food - Quick Service Restaurants,Butterchick,Investment Required: Inquire,Inquire, $-   , $-   ,0
Food - Restaurants / Dining Rooms,Café 22,"Investment Required: $750k- $1,000,000","$750k- $1,000,000"," $750,000.00 "," $1,000,000.00 ",0
Food - Baked Goods / Coffee / Donuts,Caffe Artigiano,Investment Required: $200K-$550K,$200K-$550K," $200,000.00 "," $550,000.00 ",0
Commercial / Residential Services,California Closet Company Inc.,Investment Required: Inquire,Inquire, $-   , $-   ,0
Beauty / Cosmetics / Supplies,Canada MedLaser Aesthetic Clinic,Investment Required: $415K,$415K," $415,000.00 ", $-   ,0
Home - Inspection Services,CANADIAN RESIDENTIAL INSPECTION SERVICES LTD.,Investment Required: $44.5K,$44.5K," $44,500.00 ", $-   ,0
Education / Training / Coaching,Canadian School of Natural Nutrition,Investment Required: Inquire,Inquire, $-   , $-   ,0
Food - Quick Service Restaurants,Capt Submarine,Investment Required: $120K-$160K,$120K-$160K," $120,000.00 "," $160,000.00 ",0
Health / Fitness / Nutrition,Cardio Plein Air,Investment Required: $40K,$40K," $40,000.00 ", $-   ,0
Food - Restaurants / Dining Rooms,Carlos & Pepe’s,Investment Required: $800K-$1M,$800K-$1M," $800,000.00 "," $1,000,000.00 ",0
Children's Products & Services,CEFA Early Learning,Investment Required: $650K-$2M,$650K-$2M," $650,000.00 "," $2,000,000.00 ",0
Financial / Cash Services,Centum Financial Group Inc.,Investment Required: Minimal to $10K,Minimal to $10K," $10,000.00 ", $-   ,0
Real Estate,Century 21 Canada Limited Partnership,Investment Required: $50K-$100K,$50K-$100K," $50,000.00 "," $100,000.00 ",0
Painting Services,CertaPro Painters,Investment Required: $133.3K - $169.5K,$133.3K - $169.5K," $133,300.00 "," $169,500.00 ",0
Food - Quick Service Restaurants,Chaiiwala of London,Investment Required: Inquire,Inquire, $-   , $-   ,0
Real Estate,Charlwood Pacific Group,Investment Required: Varies,Varies, $-   , $-   ,0
Food - Quick Service Restaurants,Chaska,Investment Required: $425K - $550K,$425K - $550K," $425,000.00 "," $550,000.00 ",0
Food - Quick Service Restaurants,Chatime Canada,Investment Required: $480K-$679K (600-1200 sq ft),$480K-$679K (600-1200 sq ft)," $480,000.00 "," $679,000.00 ",0
Commercial / Residential Services,Chem-Dry Carpet & Upholstery Cleaning,"Investment Required: $68,145 – $191,196","$68,145 – $191,196"," $68,145.00 "," $191,196.00 ",0
Food - Quick Service Restaurants,Chicken Delight of Canada Ltd.,Investment Required: $470K - $730K,$470K - $730K," $470,000.00 "," $730,000.00 ",0
Children's Products & Services,Chiquicuts Kids Hair Salon,Investment Required: $95K-$210K,$95K-$210K," $95,000.00 "," $210,000.00 ",0
Food - Quick Service Restaurants,Chocolato,Investment Required: $300K-$550K,$300K-$550K," $300,000.00 "," $550,000.00 ",0
Hotels / Motels / Campgrounds,Choice Hotels Canada Inc.,Investment Required: $4M +,$4M +," $4,000,000.00 ", $-   ,0
Food - Restaurants / Dining Rooms,Chuck's Roadhouse Bar & Grill,Investment Required: $375K-$700K,$375K-$700K," $375,000.00 "," $700,000.00 ",0
Food - Quick Service Restaurants,Chutneys Indian Grill,Investment Required: $300-$450k,$300-$450k," $300,000.00 "," $450,000.00 ",0
Food - Baked Goods / Coffee / Donuts,Cinnaholic Franchising LLC,Investment Required: $350K-$499K,$350K-$499K," $350,000.00 "," $499,000.00 ",0
Commercial - Janitorial Services,City Wide Facility Solutions of Canada,Investment Required: $400K,$400K," $400,000.00 ", $-   ,0
Food - Quick Service Restaurants,"CKE Restaurants Holdings, Inc / Carl's Jr.","Investment Required: $1,263,500 – $2,588,200 USD not counting real estate","$1,263,500 – $2,588,200 USD not counting real estate"," $1,263,500.00 "," $2,588,200.00 ",USD
Other,ClaClaws,Investment Required: Inquire,Inquire, $-   , $-   ,0
Hotels / Motels / Campgrounds,Clarion® (Choice Hotels Canada Inc.),Investment Required: $4M+,$4M+," $4,000,000.00 ", $-   ,0
Food - Baked Goods / Coffee / Donuts,COBS Bread,"Investment Required: $350,000 to $1,000,000+","$350,000 to $1,000,000+"," $350,000.00 "," $1,000,000.00 ",USD
Educational Products & Services,Code Wiz,Investment Required: Inquire,Inquire, $-   , $-   ,0
Educational Products & Services,Coder Sports Academy,Investment Required: Inquire,Inquire, $-   , $-   ,0
Food - Baked Goods / Coffee / Donuts,COFFEE CULTURE CAFÉ & EATERY,Investment Required: $300K-$400K,$300K-$400K," $300,000.00 "," $400,000.00 ",0
Food - Baked Goods / Coffee / Donuts,Coffee Time,Investment Required: $250K-$500K (gas station kiosks start at $27K),$250K-$500K (gas station kiosks start at $27K)," $250,000.00 "," $500,000.00 ",0
Painting Services,College Pro,Investment Required: $5000,$5000," $5,000.00 ", $-   ,0
Automotive & Truck Services / Products / Rentals,Color Glo Canada Inc.,Investment Required: $51K,$51K," $51,000.00 ", $-   ,0
Seniors Services / Home Care / Transition,Comfort Keepers,Investment Required: $113.5K-$154.3K,$113.5K-$154.3K," $113,500.00 "," $154,300.00 ",0
Hotels / Motels / Campgrounds,Comfort ™ (Choice Hotels Canada Inc.),Investment Required: $4M+,$4M+," $4,000,000.00 ", $-   ,0
Food - Restaurants / Dining Rooms,Crabby Joe’s Bar∙Grill,Investment Required: $650K-$850K,$650K-$850K," $650,000.00 "," $850,000.00 ",0
Educational Products & Services,Crayola® Imagine Arts Academy™,Investment Required: Inquire,Inquire, $-   , $-   ,0
Food - Quick Service Restaurants,CREPE DELICIOUS,Investment Required: $150K-$350K,$150K-$350K," $150,000.00 "," $350,000.00 ",0
Food - Quick Service Restaurants,Crest Kitchens,Investment Required: $295K-$345K,$295K-$345K," $295,000.00 "," $345,000.00 ",0
Retail,Crock A Doodle,Investment Required: Total Investment from $85K,Total Investment from $85K," $85,000.00 ", $-   ,0
Health / Fitness / Nutrition,Crunch Fitness Canada,"Investment Required: $285,500-$2,402,500","$285,500-$2,402,500"," $285,500.00 "," $2,402,500.00 ",0
Sports / Recreation / Entertainment,Ctrl V Inc.,"Investment Required: $250,000 - $400,000","$250,000 - $400,000"," $250,000.00 "," $400,000.00 ",0
Food - Baked Goods / Coffee / Donuts,D Spot Dessert Café,Investment Required: Inquire,Inquire, $-   , $-   ,0
Hotels / Motels / Campgrounds,Days Inns - Canada,Investment Required: Inquire,Inquire, $-   , $-   ,0
Home - Decorations / Furnishings,"Decor & You, Inc.",Investment Required: $59K USD,$59K USD," $59,000.00 ", USD ,0
Beauty / Cosmetics / Supplies,Deka Lash,Investment Required: Inquire,Inquire, $-   , $-   ,0
Food - Quick Service Restaurants,Delish Pizza,Investment Required: 250k-375k,250k-375k," $250,000.00 "," $375,000.00 ",0
Beauty / Cosmetics / Supplies,DermaEnvy Skincare,Investment Required: $149.9K+,$149.9K+," $149,900.00 ", $-   ,0
Educational Products & Services,Discovery Centre International,Investment Required: Inquire,Inquire, $-   , $-   ,0
Pets - Sales / Supplies / Services,Dogtopia,Investment Required: $550K-$1.2M,$550K-$1.2M,,,
Food - Quick Service Restaurants,Double Double Pizza & Chicken,Investment Required: $250K+,$250K+,,,
Food - Quick Service Restaurants,Doughbox Wood Fired Pizza & Pasta,Investment Required: Inquire,Inquire,,,
Seniors Services / Home Care / Transition,Driving Miss Daisy Seniors' Transportation Inc.,"Investment Required: $45K approx., includes vehicle","$45K approx., includes vehicle",,,
Food - Baked Goods / Coffee / Donuts,Duck Donuts,Investment Required: $500K-$750K,$500K-$750K,,,
Hotels / Motels / Campgrounds,Econo Lodge® (Choice Hotels Canada Inc.),Investment Required: $4M+,$4M+,,,
Food - Quick Service Restaurants,Edo Japan,"Investment Required: $625,000","$625,000",,,
Food - Baked Goods / Coffee / Donuts,Eggless Cake Shop Franchise Canada Ltd,Investment Required: $350K,$350K,,,
Food - Restaurants / Dining Rooms,Eggsmart,Investment Required: $573K,$573K,,,
Painting Services,Elite Trade Painting,Investment Required: $85K - $110K,$85K - $110K,,,
Commercial / Residential Services,Elite Window Cleaning,Investment Required: $102K-$120K,$102K-$120K,,,
Home - Improvement / Renovation / Restoration,End of the Roll,Investment Required: $200K,$200K,,,
Hair & Nail Salons / Spas,Enlighten Laser & Skin Care Clinic,Investment Required: Inquire,Inquire,,,
Food - Restaurants / Dining Rooms,Enoteca Monza,Investment Required: $1.5M-$2M,$1.5M-$2M,,,
Commercial - Supplies / Equipment & Services,EverLine Coatings and Services Ltd.,"Investment Required: $160,000-$200,000","$160,000-$200,000",,,
Employment / Personnel Services,Express Employment Professionals,Investment Required: $190K-$225K USD,$190K-$225K USD,,,
Food - Restaurants / Dining Rooms,Famoso Italian Pizzeria + Bar,Investment Required: $400K-700K,$400K-700K,,,
Sign Products & Services,FASTSIGNS International Inc.,"Investment Required: $259,687-$324,312","$259,687-$324,312",,,
Food - Quick Service Restaurants,Fat Bastard Burrito Co.,Investment Required: $250K-$325K,$250K-$325K,,,
Food - Quick Service Restaurants,Fatburger,Investment Required: $425K - $525K,$425K - $525K,,,
Furniture / Upholstery Repair,Fibrenew,"Investment Required: $67,230 - $119,300","$67,230 - $119,300",,,
Business Consultants / Services / Training,First Choice Business Brokers,Investment Required: (Unit) $60K (Area Developer) $175K,(Unit) $60K (Area Developer) $175K,,,
Seniors Services / Home Care / Transition,FirstLight HomeCare,"Investment Required: $108,950 to $174,850","$108,950 to $174,850",,,
Automotive & Truck Services / Products / Rentals,Fix Auto,Investment Required: Inquire,Inquire,,,
Home - Improvement / Renovation / Restoration,FLOOR COVERINGS INTERNATIONAL,Investment Required: $175K USD,$175K USD,,,
Health / Fitness / Nutrition,Talus Ortho Medical Inc.,Investment Required: $280K-$510K,$280K-$510K,,,
Retail,Forest of Flowers,Investment Required: $175K,$175K,,,
Beauty / Cosmetics / Supplies,Foxy Box Laser & Wax Bar,"Investment Required: $181,317-$323,800","$181,317-$323,800",,,
Business Consultants / Services / Training,FranServe,Investment Required: $32K,$32K,,,
Food - Quick Service Restaurants,Fresh Burger,Investment Required: $375K-$450K,$375K-$450K,,,
Food - Quick Service Restaurants,FROZU!,Investment Required: $100K-$250K,$100K-$250K,,,
Advertising / Marketing / Promotional Products & Services,Fully Promoted,Investment Required: $0-$50K,$0-$50K,,,
Food - Baked Goods / Coffee / Donuts,Fuwa Fuwa Japanese Pancakes,Investment Required: $250K-$350K,$250K-$350K,,,
Advertising / Marketing / Promotional Products & Services,GetintheLoop Marketing Ltd,Investment Required: Varies,Varies,,,
,Ghost Kitchens,Investment Required: Inquire,Inquire,,,
Food - Quick Service Restaurants,Ghost Taco,"Investment Required: $400,000-$500,000","$400,000-$500,000",,,
Food - Quick Service Restaurants,Gino's Pizza,Investment Required: $295K-$395K,$295K-$395K,,,
Hair & Nail Salons / Spas,Glamour Secrets Beauty Bar,Investment Required: $150K-$300K,$150K-$300K,,,
Commercial / Residential Services,Glass Doctor,"Investment Required: + ($93,800 - $232,000 USD)","+ ($93,800 - $232,000 USD)",,,
Pets - Sales / Supplies / Services,Global Bancorp Inc.,Investment Required: $380K-$620K,$380K-$620K,,,
Franchise Consulting Services,Global Franchise Opportunities,Investment Required: Inquire,Inquire,,,
Pets - Sales / Supplies / Services,Global Pet Foods,Investment Required: $480K-$690K,$480K-$690K,,,
Accounting / Tax Services,Globe Accountants,Investment Required: Inquire,Inquire,,,
Automotive & Truck Services / Products / Rentals,Go Oil,Investment Required: Inquire,Inquire,,,
Educational Products & Services,Goldfish Swim School Franchising of Canada ULC,"Investment Required: $1,813,000-$3,653,833","$1,813,000-$3,653,833",,,
Mobile Businesses,GoliathTech Inc.,Investment Required: $100K -  $241K,$100K -  $241K,,,
Food - Baked Goods / Coffee / Donuts,GOOD EARTH COFFEEHOUSE,Investment Required: $395K-$595K,$395K-$595K,,,
Hair & Nail Salons / Spas,"Great Clips, Inc.",Investment Required: Net Worth $500K ($1M in select markets),Net Worth $500K ($1M in select markets),,,
Food - Quick Service Restaurants,Greco Pizza Restaurants,Investment Required: $150K-$240K,$150K-$240K,,,
Automotive & Truck Services / Products / Rentals,Green Motion Canada,Investment Required: Inquire,Inquire,,,
Mobile Businesses,H2GO Mobile Wash,Investment Required: $65K-$110K,$65K-$110K,,,
Retail,HALLMARK CARDS CANADA,Investment Required: Varies,Varies,,,
Health / Fitness / Nutrition,Hand & Stone Massage and Facial Spa,Investment Required: $573k - $690k,$573k - $690k,,,
Seniors Services / Home Care / Transition,Heart To Home Meals,Investment Required: $150K-$200K,$150K-$200K,,,
Food - Quick Service Restaurants,Hellcrust Pizza,Investment Required: $250K (rest can be financed),$250K (rest can be financed),,,
Seniors Services / Home Care / Transition,Home Instead,Investment Required: $130K-$140K,$130K-$140K,,,
Food - Restaurants / Dining Rooms,Humpty's Family Restaurants,Investment Required: $550K-$750K,$550K-$750K,,,
Designated Driving / Transportation Services,ICargo Xpress,Investment Required: Inquire,Inquire,,,
Health / Fitness / Nutrition,iCRYO Canada,Investment Required: $200K+,$200K+,,,
Food - Restaurants / Dining Rooms,IHOP Corp,Investment Required: $1.5M-$3.0MM CAD; varies by asset type/size,$1.5M-$3.0MM CAD; varies by asset type/size,,,
Sign Products & Services,Image360,"Investment Required: $208,343-$428,318 USD","$208,343-$428,318 USD",,,
Environmental Products and Services,Indoor Air Quality Canada,Investment Required: 25000,25000,,,
Educational Products & Services,Inspiration Learning Center (Tutoring & Private Schools),Investment Required: $80K- 150K,$80K- 150K,,,
Food - Restaurants / Dining Rooms,Jacques Cartier Pizza,Investment Required: Inquire,Inquire,,,
Commercial - Janitorial Services,Jani-King Canada,Investment Required: Varies with plan purchased,Varies with plan purchased,,,
Commercial - Janitorial Services,JDI Cleaning Services,Investment Required: Varies dependent on program chosen,Varies dependent on program chosen,,,
Food - Restaurants / Dining Rooms,Joey’s Seafood Restaurant,"Investment Required: $167,000K - $340,000K","$167,000K - $340,000K",,,
Commercial / Residential Services,JUNK WORKS,Investment Required: $60.2K-$123.4K,$60.2K-$123.4K,,,
Retail,Jupiter,Investment Required: $125K,$125K,,,
Hair & Nail Salons / Spas,Just Cuts,"Investment Required: $200,000 - $300,000","$200,000 - $300,000",,,
Seniors Services / Home Care / Transition,Just Like Family Homecare,Investment Required: $75K,$75K,,,
Accounting / Tax Services,Keeping the Books Canada,Investment Required: $50K+,$50K+,,,
Food - Baked Goods / Coffee / Donuts,Kekuli Café Indigenous Cuisine,Investment Required: $300K-$450K,$300K-$450K,,,
Food - Restaurants / Dining Rooms,Kinton Ramen,Investment Required: Inquire,Inquire,,,
Printing / Copying / Shipping,KK Printing Canada ULC,Investment Required: will vary,will vary,,,
Educational Products & Services,Kumon Math and Reading Centres,Investment Required: $64K-$160K,$64K-$160K,,,
Food - Restaurants / Dining Rooms,La Belle & La Bœuf  / Beauty & The Beef,Investment Required: $1.2M-$1.6M,$1.2M-$1.6M,,,
Food - Restaurants / Dining Rooms,La Chambre,Investment Required: $600K-$1.1M,$600K-$1.1M,,,
Food - Quick Service Restaurants,LA PREP,Investment Required: $450K-$650K,$450K-$650K,,,
Beauty / Cosmetics / Supplies,Laser Clinics Canada,"Investment Required: $708,550- $1,030,050","$708,550- $1,030,050",,,
Automotive & Truck Services / Products / Rentals,LEAKPRO INTERNATIONAL Inc.,Investment Required: $50K***See FDD.,$50K***See FDD.,,,
Accounting / Tax Services,Ledgers Canada,Investment Required: $40K,$40K,,,
Food - Baked Goods / Coffee / Donuts,Lee's Donuts,Investment Required: Inquire,Inquire,,,
Food - Quick Service Restaurants,Les Rotisseries Au Coq / Benny Rotisseries,"Investment Required: $500K (QSR), $950K (Full Service)","$500K (QSR), $950K (Full Service)",,,
Food - Quick Service Restaurants,Les Rotisseries Piri Piri,Investment Required: $80K-$150K,$80K-$150K,,,
Accounting / Tax Services,Liberty Tax,"Investment Required: $36,200 - $64,400","$36,200 - $64,400",,,
Children's Products & Services,Lice Squad.com,Investment Required: $8.5K-$60.5K,$8.5K-$60.5K,,,
Children's Products & Services,Little Kids Daycare Center,Investment Required: $700 - $900K,$700 - $900K,,,
Health / Fitness / Nutrition,LIVE WELL Exercise Clinic,Investment Required: Inquire,Inquire,,,
Seniors Services / Home Care / Transition,Living Assistance Services,Investment Required: $79K,$79K,,,
Pets - Sales / Supplies / Services,Living LIGHTING,Investment Required: $380K-$540K,$380K-$540K,,,
Food - Quick Service Restaurants,Loaded Pierogi,Investment Required: $299K,$299K,,,
Home - Improvement / Renovation / Restoration,Local Handyman Group,Investment Required: $55K - $90K,$55K - $90K,,,
Children's Products & Services,"Lunch Lady Group Inc, The","Investment Required: $200,000.00","$200,000.00",,,
Food - Grocery / Specialty Shops,M&M Food Market,Investment Required: $100K-$500K,$100K-$500K,,,
Educational Products & Services,Mad Science Group,Investment Required: Inquire,Inquire,,,
Home - Maid / Cleaning Services,MaidPro,"Investment Required: $94,560-$119,800","$94,560-$119,800",,,
Food - Restaurants / Dining Rooms,Mandarin Restaurant Franchise Corporation,Investment Required: $3M,$3M,,,
Educational Products & Services,Maple Bear Global Schools,Investment Required: +$700K,+$700K,,,
Health / Fitness / Nutrition,Massage Experts,Investment Required: $324k-$442k,$324k-$442k,,,
Commercial - Janitorial Services,Master Care Janitorial and Facility Services Inc.,"Investment Required: $60,000","$60,000",,,
Automotive & Truck Services / Products / Rentals,"Master Mechanic, The",Investment Required: $284K-$596K,$284K-$596K,,,
Retail,Mattress By Appointment Canada,Investment Required: $18K - $28K,$18K - $28K,,,
Food - Baked Goods / Coffee / Donuts,Maverick's Donuts,Investment Required: Inquire,Inquire,,,
Real Estate,MaxWell Realty Inc.,Investment Required: Inquire,Inquire,,,
Food - Quick Service Restaurants,McDonald's Restaurants of Canada Limited,"Investment Required: $700,000 unencumbered funds","$700,000 unencumbered funds",,,
Health / Fitness / Nutrition,Medicine Shoppe Canada,Investment Required: $175K-$200K,$175K-$200K,,,
